Census year,Occupation,Total Weight,Female,Male,,,,
2004,broker,2582270,0.589920496,0.410079504,,,,
1900,fireperson,80901.19,0.005593366,0.994406634,,,,
2005,carpenter,1981048,0.024106433,0.975893567,,,,
2008,welder,770504,0.063577866,0.936422134,,,,
2000,bankteller,528150,0.898356528,0.101643472,,,,
1870,setter,999.99,0,1,,,,
1880,photographer,10649.63,0.05053415,0.94946585,,,,
1850,toolmaker,191.67,0,1,,,,
1970,welder,1268300,0.077584168,0.922415832,,,,
1910,broker,217510,0.022596662,0.977403338,,,,
1920,geologist,2123.43,0.046792218,0.953207782,,,,
2012,baker,266397,0.57793819,0.42206181,,,,
1980,soldier,1782500,0.097009818,0.902990182,,,,
2014,shoemaker,218760,0.068152313,0.931847687,,,,
1850,dentist,2223.27,0,1,,,,
2014,laborer,8493236,0.151894166,0.848105834,,,,
1850,craftsperson,68415.23,0,1,,,,
2015,surveyor,119010,0.132795563,0.867204437,,,,
1940,mason,147561,0.009467271,0.990532729,,,,
1980,inspector,241700,0.155316508,0.844683492,,,,
2005,pharmacist,258874,0.50211686,0.49788314,,,,
2011,therapist,778162,0.790111828,0.209888172,,,,
1920,electrician,208692.13,0.008145875,0.991854125,,,,
2013,economist,372282,0.568200987,0.431799013,,,,
2010,carpenter,1732211,0.019094671,0.980905329,,,,
2003,clerk,771540,0.310841952,0.689158048,,,,
1980,peddler,339340,0.829846172,0.170153828,,,,
1980,technician,1931340,0.417575362,0.582424638,,,,
1960,constable,7980,0.040100251,0.959899749,,,,
1860,weaver,39606.74,0.640352374,0.359647626,,,,
1930,technician,28316.98,0.337793084,0.662206916,,,,
2001,clergy,581612,0.290750535,0.709249465,,,,
1940,milliner,11988,0.8665332,0.1334668,,,,
2015,physicist,11683,0.11743559,0.88256441,,,,
1870,inspector,4192.5,0,1,,,,
2009,dentist,176643,0.224096058,0.775903942,,,,
1930,accountant,203376.65,0.097332216,0.902667784,,,,
2000,shoemaker,296486,0.047560424,0.952439576,,,,
1990,mechanic,14025323,0.341427074,0.658572926,,,,
2000,instructor,1345001,0.474115633,0.525884367,,,,
2003,janitor,5035591,0.536156133,0.463843867,,,,
1920,therapist,6369.54,0.491825155,0.508174845,,,,
1930,architect,100210.02,0.02294082,0.97705918,,,,
1930,psychologist,406.49,0.800659303,0.199340697,,,,
1860,painter,5339.56,0,1,,,,
1910,bailiff,10528,0.00949848,0.99050152,,,,
1910,mason,168819,0.002381249,0.997618751,,,,
1930,janitor,349316.13,0.177160757,0.822839243,,,,
2007,jeweler,131488,0.235146934,0.764853066,,,,
2015,machinist,411141,0.046991178,0.953008822,,,,
2000,tradesperson,6882181,0.054819105,0.945180895,,,,
1910,designer,11539,0.32186498,0.67813502,,,,
1910,bootblack,11033,0.018127436,0.981872564,,,,
2010,bankteller,518614,0.858432283,0.141567717,,,,
1930,judge,163872,0.023359634,0.976640366,,,,
1950,soldier,1022507,0.020417464,0.979582536,,,,
1910,doctor,140010,0.050132133,0.949867867,,,,
1950,technician,201558,0.358040862,0.641959138,,,,
1980,mechanic,15068940,0.381843713,0.618156287,,,,
2012,sales,8574289,0.451236715,0.548763285,,,,
2015,architect,386643,0.234094501,0.765905499,,,,
1920,pilot,818.19,0,1,,,,
2011,broker,2454302,0.578025035,0.421974965,,,,
2014,guard,1980903,0.24729227,0.75270773,,,,
2000,porter,67323,0.165129302,0.834870698,,,,
2000,teacher,5862951,0.760827611,0.239172389,,,,
2001,salesperson,2491230,0.450474665,0.549525335,,,,
2008,gardener,1764736,0.065563914,0.934436086,,,,
2005,upholsterer,65083,0.2191202,0.7808798,,,,
2002,athlete,270645,0.297847734,0.702152266,,,,
1860,veterinarian,101.02,0,1,,,,
1850,newsperson,2606.67,0,1,,,,
1920,engineer,468233.16,0.001511256,0.998488744,,,,
1970,toolmaker,446800,0.027081468,0.972918532,,,,
2013,clerk,758280,0.297222662,0.702777338,,,,
1900,osteopath,389.25,0.348824663,0.651175337,,,,
1910,postmaster,25076,0.348061892,0.651938108,,,,
2002,physician,796480,0.291866714,0.708133286,,,,
1910,blacksmith,241211,0.000837441,0.999162559,,,,
2008,photographer,258657,0.414622454,0.585377546,,,,
1850,attendant,212.65,0,1,,,,
2008,sailor,36530,0.050396934,0.949603066,,,,
2009,veterinarian,78549,0.466880546,0.533119454,,,,
2005,sheriff,12528,0.300207535,0.699792465,,,,
2009,doctor,884804,0.330722962,0.669277038,,,,
1900,secretary,118725.01,0.728513226,0.271486774,,,,
2004,jeweler,125597,0.178849813,0.821150187,,,,
