SOC_Codes_2018,Occupation,Total,ma,fe,Female,Male
"OFF-Library Assistants, Clerical",clerical,4100,801,3299,0.804634146,0.195365854
OFF-Loan Interviewers And Clerks,clerical,1724,520,1204,0.69837587,0.30162413
OFF-New Accounts Clerks,clerical,519,246,273,0.526011561,0.473988439
"OFF-Human Resources Assistants, Except Payroll And Timekeeping",clerical,1380,278,1102,0.798550725,0.201449275
OFF-Receptionists And Information Clerks,clerical,31278,3168,28110,0.898714752,0.101285248
OFF-Reservation And Transportation Ticket Agents And Travel Clerks,clerical,2571,1049,1522,0.591987553,0.408012447
OFF-Correspondence Clerks And Order Clerks,clerical,3138,1309,1829,0.582855322,0.417144678
OFF-Other Information And Records Clerks,clerical,4328,963,3365,0.777495379,0.222504621
"OFF-Dispatchers, Except Police, Fire, And Ambulance",dispatcher,4235,2405,1830,0.432113341,0.567886659
OFF-Postal Service Mail Carriers,postie,9700,7575,2125,0.219072165,0.780927835
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators",operator,2616,1462,1154,0.441131498,0.558868502
"OFF-Production, Planning, And Expediting Clerks",clerical,8327,3186,5141,0.617389216,0.382610784
"OFF-Shipping, Receiving, And Inventory Clerks",clerical,14505,10691,3814,0.262943812,0.737056188
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping",clerical,1572,875,697,0.443384224,0.556615776
OFF-Executive Secretaries And Executive Administrative Assistants,secretary,7419,455,6964,0.93867098,0.06132902
OFF-Legal Secretaries And Administrative Assistants,secretary,1794,64,1730,0.96432553,0.03567447
OFF-Medical Secretaries And Administrative Assistants,secretary,3424,171,3253,0.950058411,0.049941589
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive",secretary,75904,4658,71246,0.93863301,0.06136699
OFF-Data Entry Keyers,clerical,7936,2303,5633,0.709803427,0.290196573
OFF-Word Processors And Typists,typesetter,6841,1218,5623,0.821955854,0.178044146
OFF-Insurance Claims And Policy Processing Clerks,clerical,8038,1882,6156,0.765862155,0.234137845
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service",clerical,2611,1567,1044,0.399846802,0.600153198
"OFF-Office Clerks, General",clerical,38025,8336,29689,0.780775805,0.219224195
"OFF-Office Machine Operators, Except Computer",operator,1063,605,458,0.430856068,0.569143932
OFF-Proofreaders And Copy Markers,proofreader,600,104,496,0.826666667,0.173333333
OFF-Statistical Assistants,statistician,775,490,285,0.367741935,0.632258065
FFF-Agricultural Inspectors,inspector,15,15,0,0,1
FFF-Other Agricultural Workers,worker,6940,4083,2857,0.41167147,0.58832853
FFF-Fishing And Hunting Workers,worker,2707,2619,88,0.032508312,0.967491688
FFF-Forest And Conservation Workers,conservationist,525,320,205,0.39047619,0.60952381
FFF-Logging Workers,worker,520,498,22,0.042307692,0.957692308
CON-First-Line Supervisors Of Construction Trades And Extraction Workers,tradesperson,16528,16063,465,0.028134076,0.971865924
CON-Boilermakers,boilermaker,414,365,49,0.118357488,0.881642512
CON-Carpenters,carpenter,38730,38127,603,0.015569326,0.984430674
"CON-Carpet, Floor, And Tile Installers And Finishers",finisher,2862,2782,80,0.027952481,0.972047519
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers",mason,389,389,0,0,1
CON-Construction laborers,laborer,41772,40609,1163,0.027841616,0.972158384
CON-Construction Equipment Operators,operator,7216,6967,249,0.034506652,0.965493348
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers",taper,1829,1829,0,0,1
CON-Electricians,electrician,22168,21954,214,0.009653555,0.990346445
CON-Glaziers,glazier,875,875,0,0,1
CON-Insulation Workers,workers,1491,1491,0,0,1
CON-Painters And Paperhangers,painter,18210,17078,1132,0.062163646,0.937836354
CON-Pipelayers,pipelayer,1129,1117,12,0.010628875,0.989371125
"CON-Plumbers, Pipefitters, And Steamfitters",plumber,14506,14337,169,0.011650352,0.988349648
CON-Plasterers And Stucco Masons,plasterer,1428,1428,0,0,1
CON-Roofers,roofer,4460,4460,0,0,1
CON-Sheet Metal Workers,worker,2924,2795,129,0.044117647,0.955882353
CON-Structural Iron And Steel Workers,worker,1046,943,103,0.098470363,0.901529637
CON-Solar Photovoltaic Installers,installer,311,311,0,0,1
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers",mason,5002,4958,44,0.008796481,0.991203519
"CON-Helpers, Construction Trades",tradesperson,1048,866,182,0.173664122,0.826335878
