Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: New York"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"OFF-Eligibility Interviewers, Government Programs","5392","1457","3935"
"OFF-File Clerks","21020","6878","14142"
"OFF-Hotel, Motel, And Resort Desk Clerks","7598","3123","4475"
"OFF-Interviewers, Except Eligibility And Loan","11797","3197","8600"
"OFF-Library Assistants, Clerical","11021","2614","8407"
"OFF-Loan Interviewers And Clerks","3675","883","2792"
"OFF-New Accounts Clerks","1285","472","813"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","4593","1181","3412"
"OFF-Receptionists And Information Clerks","97363","12052","85311"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","10059","4993","5066"
"OFF-Correspondence Clerks And Order Clerks","8309","4385","3924"
"OFF-Other Information And Records Clerks","10377","3140","7237"
"OFF-Cargo And Freight Agents","1319","784","535"
"OFF-Couriers And Messengers","25799","22151","3648"
"OFF-Public Safety Telecommunicators","4922","2196","2726"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","12041","7539","4502"
"OFF-Meter Readers, Utilities","1155","1000","155"
"OFF-Postal Service Clerks","14122","7385","6737"
"OFF-Postal Service Mail Carriers","24926","17379","7547"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","5936","3116","2820"
"OFF-Production, Planning, And Expediting Clerks","19316","7863","11453"
"OFF-Shipping, Receiving, And Inventory Clerks","27997","20389","7608"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","4389","2325","2064"
"OFF-Executive Secretaries And Executive Administrative Assistants","20866","1645","19221"
"OFF-Legal Secretaries And Administrative Assistants","7734","529","7205"
"OFF-Medical Secretaries And Administrative Assistants","9770","599","9171"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","240553","15106","225447"
"OFF-Data Entry Keyers","24532","7334","17198"
"OFF-Word Processors And Typists","26089","4857","21232"
"OFF-Insurance Claims And Policy Processing Clerks","18541","4413","14128"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","7885","4982","2903"
