Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: West Virginia"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"OFF-Billing And Posting Clerks","3424","172","3252"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","6999","701","6298"
"OFF-Payroll And Timekeeping Clerks","948","177","771"
"OFF-Procurement Clerks","137","53","84"
"OFF-Tellers","2858","151","2707"
"OFF-Other Financial Clerks","396","84","312"
"OFF-Court, Municipal, And License Clerks","857","97","760"
"OFF-Credit Authorizers, Checkers, And Clerks","207","45","162"
"OFF-Customer Service Representatives","14745","4617","10128"
"OFF-Eligibility Interviewers, Government Programs","599","141","458"
"OFF-File Clerks","1294","274","1020"
"OFF-Hotel, Motel, And Resort Desk Clerks","1399","388","1011"
"OFF-Interviewers, Except Eligibility And Loan","1156","271","885"
"OFF-Library Assistants, Clerical","761","53","708"
"OFF-Loan Interviewers And Clerks","505","0","505"
"OFF-New Accounts Clerks","103","20","83"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","499","188","311"
"OFF-Receptionists And Information Clerks","7801","842","6959"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","420","140","280"
"OFF-Correspondence Clerks And Order Clerks","655","405","250"
"OFF-Other Information And Records Clerks","1160","395","765"
"OFF-Cargo And Freight Agents","97","57","40"
"OFF-Couriers And Messengers","1288","1023","265"
"OFF-Public Safety Telecommunicators","517","179","338"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","1057","756","301"
"OFF-Meter Readers, Utilities","699","560","139"
"OFF-Postal Service Clerks","781","350","431"
"OFF-Postal Service Mail Carriers","2738","1764","974"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","417","196","221"
"OFF-Production, Planning, And Expediting Clerks","1525","720","805"
"OFF-Shipping, Receiving, And Inventory Clerks","2451","1393","1058"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","552","343","209"
"OFF-Executive Secretaries And Executive Administrative Assistants","1874","158","1716"
"OFF-Legal Secretaries And Administrative Assistants","838","0","838"
"OFF-Medical Secretaries And Administrative Assistants","833","41","792"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","21278","994","20284"
"OFF-Data Entry Keyers","1547","463","1084"
"OFF-Word Processors And Typists","1534","254","1280"
"OFF-Insurance Claims And Policy Processing Clerks","1547","393","1154"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","622","309","313"
"OFF-Office Clerks, General","8952","1650","7302"
"OFF-Office Machine Operators, Except Computer","151","71","80"
"OFF-Proofreaders And Copy Markers","193","85","108"
"OFF-Statistical Assistants","176","125","51"
"OFF-Other Office And Administrative Support Workers","3242","832","2410"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","368","368","0"
"FFF-Agricultural Inspectors","92","36","56"
"FFF-Graders And Sorters, Agricultural Products","20","0","20"
"FFF-Other Agricultural Workers","2225","1594","631"
"FFF-Fishing And Hunting Workers","109","109","0"
"FFF-Forest And Conservation Workers","377","220","157"
"FFF-Logging Workers","1416","1352","64"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","8184","8028","156"
"CON-Boilermakers","139","139","0"
"CON-Carpenters","7131","7069","62"
"CON-Carpet, Floor, And Tile Installers And Finishers","657","657","0"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","300","300","0"
"CON-Construction Laborers","12587","11790","797"
"CON-Construction Equipment Operators","7777","7573","204"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","830","830","0"
"CON-Electricians","7859","7766","93"
"CON-Glaziers","240","207","33"
"CON-Insulation Workers","428","428","0"
"CON-Painters And Paperhangers","2305","2098","207"
"CON-Pipelayers","814","798","16"
"CON-Plumbers, Pipefitters, And Steamfitters","3841","3773","68"
"CON-Plasterers And Stucco Masons","85","85","0"
"CON-Roofers","1357","1324","33"
"CON-Sheet Metal Workers","577","571","6"
"CON-Structural Iron And Steel Workers","706","706","0"
"CON-Solar Photovoltaic Installers","95","75","20"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","1252","1252","0"
"CON-Helpers, Construction Trades","380","344","36"
"CON-Construction And Building Inspectors","774","634","140"
"CON-Elevator And Escalator Installers And Repairers","114","114","0"
"CON-Fence Erectors","174","174","0"
"CON-Hazardous Materials Removal Workers","284","239","45"
"CON-Highway Maintenance Workers","978","902","76"
"CON-Rail-Track Laying And Maintenance Equipment Operators","197","197","0"
"CON-Other Construction And Related Workers","389","375","14"
"EXT-Surface Mining Machine Operators And Earth Drillers","653","653","0"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","416","306","110"
"EXT-Underground Mining Machine Operators","5501","5406","95"
"EXT-Other Extraction Workers","3844","3714","130"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas","901","901","0"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","2531","2372","159"
"RPR-Computer, Automated Teller, And Office Machine Repairers","1160","1007","153"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","947","886","61"
"RPR-Avionics Technicians","9","9","0"
"RPR-Electric Motor, Power Tool, And Related Repairers","246","242","4"
"RPR-Audiovisual Equipment Installers And Repairers","325","283","42"
"RPR-Security And Fire Alarm Systems Installers","152","152","0"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","221","221","0"
