Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: California"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"SAL-Real Estate Brokers And Sales Agents","161221","76807","84414"
"SAL-Sales Engineers","4972","4463","509"
"SAL-Telemarketers","9083","3493","5590"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","23580","9361","14219"
"SAL-Sales And Related Workers, All Other","42419","21082","21337"
"OFF-First-Line Supervisors Of Office And Administrative Support Workers","179776","65575","114201"
"OFF-Switchboard Operators, Including Answering Service","2878","494","2384"
"OFF-Telephone Operators","4331","1015","3316"
"OFF-Communications Equipment Operators, All Other","4504","3394","1110"
"OFF-Bill And Account Collectors","16653","4734","11919"
"OFF-Billing And Posting Clerks","62887","9300","53587"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","180042","26846","153196"
"OFF-Payroll And Timekeeping Clerks","23125","3471","19654"
"OFF-Procurement Clerks","4561","1792","2769"
"OFF-Tellers","30666","7222","23444"
"OFF-Other Financial Clerks","18188","7622","10566"
"OFF-Court, Municipal, And License Clerks","10568","3232","7336"
"OFF-Credit Authorizers, Checkers, And Clerks","4887","1759","3128"
"OFF-Customer Service Representatives","400794","149493","251301"
"OFF-Eligibility Interviewers, Government Programs","21105","4155","16950"
"OFF-File Clerks","39785","11174","28611"
"OFF-Hotel, Motel, And Resort Desk Clerks","20649","8466","12183"
"OFF-Interviewers, Except Eligibility And Loan","17032","4320","12712"
"OFF-Library Assistants, Clerical","13686","3518","10168"
"OFF-Loan Interviewers And Clerks","18360","4436","13924"
"OFF-New Accounts Clerks","1475","387","1088"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","7041","1452","5589"
"OFF-Receptionists And Information Clerks","176828","22286","154542"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","16505","6691","9814"
"OFF-Correspondence Clerks And Order Clerks","21883","10354","11529"
"OFF-Other Information And Records Clerks","19727","6283","13444"
"OFF-Cargo And Freight Agents","3358","2516","842"
"OFF-Couriers And Messengers","41699","33620","8079"
"OFF-Public Safety Telecommunicators","10623","2753","7870"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","27580","13994","13586"
"OFF-Meter Readers, Utilities","2568","2262","306"
"OFF-Postal Service Clerks","16483","7457","9026"
"OFF-Postal Service Mail Carriers","41531","28027","13504"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","9098","4526","4572"
"OFF-Production, Planning, And Expediting Clerks","50067","21132","28935"
"OFF-Shipping, Receiving, And Inventory Clerks","100185","71739","28446"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","12153","6426","5727"
"OFF-Executive Secretaries And Executive Administrative Assistants","33947","2845","31102"
"OFF-Legal Secretaries And Administrative Assistants","12566","1433","11133"
"OFF-Medical Secretaries And Administrative Assistants","10551","633","9918"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","335532","27814","307718"
"OFF-Data Entry Keyers","51699","14815","36884"
"OFF-Word Processors And Typists","45075","9251","35824"
"OFF-Insurance Claims And Policy Processing Clerks","31109","7749","23360"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","10664","5696","4968"
"OFF-Office Clerks, General","263259","57589","205670"
"OFF-Office Machine Operators, Except Computer","6163","2752","3411"
"OFF-Proofreaders And Copy Markers","1601","466","1135"
"OFF-Statistical Assistants","3758","2004","1754"
"OFF-Other Office And Administrative Support Workers","89157","23430","65727"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","17275","15023","2252"
"FFF-Agricultural Inspectors","2396","1410","986"
"FFF-Graders And Sorters, Agricultural Products","36398","7302","29096"
"FFF-Other Agricultural Workers","326919","221612","105307"
"FFF-Fishing And Hunting Workers","3356","3040","316"
"FFF-Forest And Conservation Workers","3022","2617","405"
"FFF-Logging Workers","3668","3617","51"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","92749","89598","3151"
"CON-Boilermakers","716","716","0"
"CON-Carpenters","155794","153168","2626"
"CON-Carpet, Floor, And Tile Installers And Finishers","26646","26299","347"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","8927","8866","61"
"CON-Construction Laborers","342812","334303","8509"
"CON-Construction Equipment Operators","30844","29905","939"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","23317","23097","220"
"CON-Electricians","100111","97599","2512"
"CON-Glaziers","6558","6477","81"
"CON-Insulation Workers","3074","3047","27"
"CON-Painters And Paperhangers","94542","90637","3905"
"CON-Pipelayers","6873","6727","146"
"CON-Plumbers, Pipefitters, And Steamfitters","68018","66601","1417"
"CON-Plasterers And Stucco Masons","6748","6728","20"
"CON-Roofers","21578","21294","284"
"CON-Sheet Metal Workers","13629","12903","726"
"CON-Structural Iron And Steel Workers","8601","8176","425"
"CON-Solar Photovoltaic Installers","4567","4460","107"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","12058","11941","117"
"CON-Helpers, Construction Trades","5406","5173","233"
"CON-Construction And Building Inspectors","14288","12472","1816"
"CON-Elevator And Escalator Installers And Repairers","2735","2735","0"
"CON-Fence Erectors","4624","4489","135"
"CON-Hazardous Materials Removal Workers","4453","3747","706"
"CON-Highway Maintenance Workers","6614","6520","94"
"CON-Rail-Track Laying And Maintenance Equipment Operators","520","520","0"
"CON-Other Construction And Related Workers","10304","10040","264"
"EXT-Surface Mining Machine Operators And Earth Drillers","2807","2768","39"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","2568","2335","233"
"EXT-Underground Mining Machine Operators","2183","2140","43"
"EXT-Other Extraction Workers","4579","4490","89"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas","1456","1420","36"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","26440","24690","1750"
"RPR-Computer, Automated Teller, And Office Machine Repairers","25471","23422","2049"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","23572","20750","2822"
"RPR-Avionics Technicians","3794","3453","341"
"RPR-Electric Motor, Power Tool, And Related Repairers","3353","2985","368"
"RPR-Audiovisual Equipment Installers And Repairers","6143","5757","386"
"RPR-Security And Fire Alarm Systems Installers","9505","9288","217"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","4305","4019","286"
"RPR-Aircraft Mechanics And Service Technicians","23678","22138","1540"
"RPR-Automotive Body And Related Repairers","17863","17426","437"
"RPR-Automotive Glass Installers And Repairers","2225","2067","158"
"RPR-Automotive Service Technicians And Mechanics","122399","120429","1970"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","30676","29983","693"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","24004","23702","302"
"RPR-Small Engine Mechanics","4802","4777","25"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","13290","12825","465"
"RPR-Control And Valve Installers And Repairers","2165","2136","29"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","37492","36936","556"
"RPR-Home Appliance Repairers","6112","6005","107"
"RPR-Maintenance Workers, Machinery","2503","2254","249"
"RPR-Millwrights","2399","2349","50"
"RPR-Industrial And Refractory Machinery Mechanics","37395","35941","1454"
"RPR-Electrical Power-Line Installers And Repairers","8996","8788","208"
"RPR-Telecommunications Line Installers And Repairers","19961","19168","793"
"RPR-Precision Instrument And Equipment Repairers","8594","7593","1001"
"RPR-Maintenance And Repair Workers, General","66715","63744","2971"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","3457","3055","402"
"RPR-Locksmiths And Safe Repairers","4190","3964","226"
"RPR-Riggers","1326","1314","12"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","3111","2953","158"
"RPR-Other Installation, Maintenance, And Repair Workers","43993","42445","1548"
"PRD-First-Line Supervisors Of Production And Operating Workers","92734","69151","23583"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","26351","12198","14153"
"PRD-Engine And Other Machine Assemblers","615","588","27"
"PRD-Structural Metal Fabricators And Fitters","2021","1932","89"
"PRD-Other Assemblers and Fabricators","115048","68231","46817"
"PRD-Bakers","39890","18961","20929"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","30623","25967","4656"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","1259","916","343"
"PRD-Food Batchmakers","13583","5772","7811"
"PRD-Food Cooking Machine Operators And Tenders","1254","835","419"
"PRD-Food Processing Workers, All Other","17254","11289","5965"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","1213","1088","125"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","6012","5238","774"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","4189","4007","182"
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","1445","1346","99"
"PRD-Machinists","38560","37070","1490"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","955","825","130"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","3615","3266","349"
"PRD-Tool And Die Makers","2668","2627","41"
"PRD-Welding, Soldering, And Brazing Workers","57157","53911","3246"
"PRD-Other Metal Workers And Plastic Workers","43383","35607","7776"
"PRD-Prepress Technicians And Workers","2867","1564","1303"
"PRD-Printing Press Operators","21607","17146","4461"
"PRD-Print Binding And Finishing Workers","1636","1004","632"
"PRD-Laundry And Dry-Cleaning Workers","26628","11014","15614"
"PRD-Pressers, Textile, Garment, And Related Materials","6554","1916","4638"
"PRD-Sewing Machine Operators","46779","16904","29875"
"PRD-Shoe And Leather Workers","1814","1315","499"
"PRD-Tailors, Dressmakers, And Sewers","15285","4922","10363"
"PRD-Textile Machine Setters, Operators, And Tenders","2384","1474","910"
"PRD-Upholsterers","5296","4553","743"
