Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alaska"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRT-Other Protective Service Workers","493","197","296"
"EAT-Chefs And Head Cooks","1137","788","349"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","1118","563","555"
"EAT-Cooks","6968","3997","2971"
"EAT-Food Preparation Workers","4637","1733","2904"
"EAT-Bartenders","1920","657","1263"
"EAT-Fast Food And Counter Workers","1433","517","916"
"EAT-Waiters And Waitresses","4560","1292","3268"
"EAT-Food Servers, Nonrestaurant","142","57","85"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","1149","811","338"
"EAT-Dishwashers","1994","1917","77"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","477","22","455"
"EAT-Food Preparation And Serving Related Workers, All Other","0","0","0"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","665","513","152"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","230","230","0"
"CLN-Maids And Housekeeping Cleaners","4144","916","3228"
"CLN-Janitors And Building Cleaners","10532","6826","3706"
"CLN-Pest Control Workers","33","33","0"
"CLN-Landscaping And Groundskeeping Workers","1939","1678","261"
"CLN-Tree Trimmers And Pruners","186","74","112"
"CLN-Other Grounds Maintenance Workers","353","222","131"
"PRS-Supervisors of Personal Care And Service Workers","134","12","122"
"PRS-Animal Trainers","61","8","53"
"PRS-Animal Caretakers","440","88","352"
"PRS-Gambling Services Workers","450","102","348"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","210","79","131"
"PRS-Other Entertainment Attendants And Related Workers","1092","684","408"
"PRS-Morticians, Undertakers, And Funeral Arrangers","51","10","41"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","0","0","0"
"PRS-Barbers","56","56","0"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","1313","71","1242"
"PRS-Manicurists and Pedicurists","420","160","260"
"PRS-Skincare Specialists","167","0","167"
"PRS-Other Personal Appearance Workers","105","0","105"
"PRS-Baggage Porters, Bellhops, And Concierges","280","256","24"
"PRS-Tour And Travel Guides","1648","1095","553"
"PRS-Childcare Workers","4663","809","3854"
"PRS-Exercise Trainers And Group Fitness Instructors","453","30","423"
"PRS-Recreation Workers","567","325","242"
"PRS-Residential Advisors","332","233","99"
"PRS-Personal Care And Service Workers, All Other","496","182","314"
"SAL-First-Line Supervisors Of Retail Sales Workers","8041","4190","3851"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","2487","1792","695"
"SAL-Cashiers","10218","3279","6939"
"SAL-Counter And Rental Clerks","606","209","397"
"SAL-Parts Salespersons","396","305","91"
"SAL-Retail Salespersons","9863","4908","4955"
"SAL-Advertising Sales Agents","100","0","100"
"SAL-Insurance Sales Agents","486","62","424"
"SAL-Securities, Commodities, And Financial Services Sales Agents","145","89","56"
"SAL-Travel Agents","78","0","78"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","866","384","482"
"SAL-Sales Representatives, Wholesale And Manufacturing","1530","1008","522"
"SAL-Models, Demonstrators, And Product Promoters","272","0","272"
"SAL-Real Estate Brokers And Sales Agents","856","360","496"
"SAL-Sales Engineers","0","0","0"
"SAL-Telemarketers","0","0","0"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","550","288","262"
"SAL-Sales And Related Workers, All Other","543","377","166"
"OFF-First-Line Supervisors Of Office And Administrative Support Workers","4808","1931","2877"
"OFF-Switchboard Operators, Including Answering Service","31","0","31"
"OFF-Telephone Operators","102","0","102"
"OFF-Communications Equipment Operators, All Other","248","206","42"
"OFF-Bill And Account Collectors","277","112","165"
"OFF-Billing And Posting Clerks","1467","110","1357"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","5751","434","5317"
"OFF-Payroll And Timekeeping Clerks","447","135","312"
"OFF-Procurement Clerks","239","30","209"
"OFF-Tellers","745","108","637"
"OFF-Other Financial Clerks","280","69","211"
"OFF-Court, Municipal, And License Clerks","412","187","225"
"OFF-Credit Authorizers, Checkers, And Clerks","113","59","54"
"OFF-Customer Service Representatives","7222","1912","5310"
"OFF-Eligibility Interviewers, Government Programs","319","33","286"
"OFF-File Clerks","1051","541","510"
"OFF-Hotel, Motel, And Resort Desk Clerks","500","107","393"
"OFF-Interviewers, Except Eligibility And Loan","768","317","451"
"OFF-Library Assistants, Clerical","234","13","221"
"OFF-Loan Interviewers And Clerks","514","0","514"
"OFF-New Accounts Clerks","18","0","18"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","106","22","84"
"OFF-Receptionists And Information Clerks","5010","566","4444"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","1420","1079","341"
"OFF-Correspondence Clerks And Order Clerks","239","115","124"
"OFF-Other Information And Records Clerks","738","165","573"
"OFF-Cargo And Freight Agents","285","279","6"
"OFF-Couriers And Messengers","279","161","118"
"OFF-Public Safety Telecommunicators","338","168","170"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","1283","715","568"
"OFF-Meter Readers, Utilities","36","36","0"
"OFF-Postal Service Clerks","530","209","321"
"OFF-Postal Service Mail Carriers","791","467","324"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","284","209","75"
"OFF-Production, Planning, And Expediting Clerks","846","353","493"
"OFF-Shipping, Receiving, And Inventory Clerks","1362","904","458"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","176","54","122"
"OFF-Executive Secretaries And Executive Administrative Assistants","1288","64","1224"
"OFF-Legal Secretaries And Administrative Assistants","124","0","124"
"OFF-Medical Secretaries And Administrative Assistants","281","0","281"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","7983","713","7270"
"OFF-Data Entry Keyers","999","212","787"
"OFF-Word Processors And Typists","549","191","358"
"OFF-Insurance Claims And Policy Processing Clerks","337","48","289"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","89","5","84"
"OFF-Office Clerks, General","4721","1256","3465"
"OFF-Office Machine Operators, Except Computer","18","18","0"
"OFF-Proofreaders And Copy Markers","27","0","27"
"OFF-Statistical Assistants","77","22","55"
"OFF-Other Office And Administrative Support Workers","2465","292","2173"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","126","97","29"
"FFF-Agricultural Inspectors","16","11","5"
"FFF-Graders And Sorters, Agricultural Products","335","119","216"
"FFF-Other Agricultural Workers","1117","875","242"
"FFF-Fishing And Hunting Workers","5880","5300","580"
"FFF-Forest And Conservation Workers","106","69","37"
"FFF-Logging Workers","470","466","4"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","2864","2601","263"
"CON-Boilermakers","64","64","0"
"CON-Carpenters","5492","5346","146"
"CON-Carpet, Floor, And Tile Installers And Finishers","432","432","0"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","133","133","0"
"CON-Construction Laborers","5875","5621","254"
"CON-Construction Equipment Operators","3368","3238","130"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","535","385","150"
"CON-Electricians","3707","3251","456"
"CON-Glaziers","135","135","0"
"CON-Insulation Workers","344","339","5"
"CON-Painters And Paperhangers","1027","890","137"
"CON-Pipelayers","304","304","0"
"CON-Plumbers, Pipefitters, And Steamfitters","1829","1798","31"
"CON-Plasterers And Stucco Masons","0","0","0"
"CON-Roofers","711","711","0"
"CON-Sheet Metal Workers","112","112","0"
"CON-Structural Iron And Steel Workers","81","81","0"
"CON-Solar Photovoltaic Installers","25","25","0"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","306","306","0"
"CON-Helpers, Construction Trades","105","94","11"
"CON-Construction And Building Inspectors","369","284","85"
"CON-Elevator And Escalator Installers And Repairers","0","0","0"
"CON-Fence Erectors","160","160","0"
"CON-Hazardous Materials Removal Workers","418","414","4"
"CON-Highway Maintenance Workers","396","352","44"
"CON-Rail-Track Laying And Maintenance Equipment Operators","4","4","0"
"CON-Other Construction And Related Workers","31","31","0"
"EXT-Surface Mining Machine Operators And Earth Drillers","226","226","0"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","409","402","7"
"EXT-Underground Mining Machine Operators","563","535","28"
"EXT-Other Extraction Workers","1136","1136","0"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas","403","387","16"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","1028","985","43"
"RPR-Computer, Automated Teller, And Office Machine Repairers","428","428","0"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","1309","1110","199"
"RPR-Avionics Technicians","35","35","0"
"RPR-Electric Motor, Power Tool, And Related Repairers","116","116","0"
"RPR-Audiovisual Equipment Installers And Repairers","147","147","0"
"RPR-Security And Fire Alarm Systems Installers","94","71","23"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","582","553","29"
"RPR-Aircraft Mechanics And Service Technicians","2356","2307","49"
"RPR-Automotive Body And Related Repairers","454","454","0"
"RPR-Automotive Glass Installers And Repairers","54","0","54"
"RPR-Automotive Service Technicians And Mechanics","2603","2488","115"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","1452","1452","0"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","1896","1854","42"
"RPR-Small Engine Mechanics","192","153","39"
