Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arkansas"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"HLS-Physical Therapist Assistants And Aides","1149","331","818"
"HLS-Massage Therapists","949","170","779"
"HLS-Dental Assistants","2867","76","2791"
"HLS-Medical Assistants","3712","214","3498"
"HLS-Medical Transcriptionists","711","53","658"
"HLS-Pharmacy Aides","269","68","201"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","527","51","476"
"HLS-Phlebotomists","1375","203","1172"
"HLS-Other Healthcare Support Workers","1841","387","1454"
"PRT-First-Line Supervisors Of Correctional Officers","1003","645","358"
"PRT-First-Line Supervisors Of Police And Detectives","1162","1008","154"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","438","404","34"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","666","546","120"
"PRT-Firefighters","2879","2841","38"
"PRT-Fire Inspectors","200","172","28"
"PRT-Bailiffs","355","190","165"
"PRT-Correctional Officers And Jailers","4117","2668","1449"
"PRT-Detectives And Criminal Investigators","1427","804","623"
"PRT-Police Officers","7753","6850","903"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","203","176","27"
"PRT-Animal Control Workers","176","92","84"
"PRT-Private Detectives And Investigators","1059","647","412"
"PRT-Security Guards And Gambling Surveillance Officers","7239","5106","2133"
"PRT-Crossing Guards And Flaggers","600","474","126"
"PRT-Transportation Security Screeners","84","36","48"
"PRT-School Bus Monitors","202","32","170"
"PRT-Other Protective Service Workers","1938","1163","775"
"EAT-Chefs And Head Cooks","1775","1145","630"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","7320","2192","5128"
"EAT-Cooks","33941","17804","16137"
"EAT-Food Preparation Workers","9753","3565","6188"
"EAT-Bartenders","2151","859","1292"
"EAT-Fast Food And Counter Workers","7516","2497","5019"
"EAT-Waiters And Waitresses","24833","5288","19545"
"EAT-Food Servers, Nonrestaurant","1200","96","1104"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","2708","1240","1468"
"EAT-Dishwashers","3660","2622","1038"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","2694","482","2212"
"EAT-Food Preparation And Serving Related Workers, All Other","312","81","231"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","2397","1222","1175"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","1601","1476","125"
"CLN-Maids And Housekeeping Cleaners","18237","1986","16251"
"CLN-Janitors And Building Cleaners","31094","21233","9861"
"CLN-Pest Control Workers","1249","947","302"
"CLN-Landscaping And Groundskeeping Workers","15723","14723","1000"
"CLN-Tree Trimmers And Pruners","1139","1129","10"
"CLN-Other Grounds Maintenance Workers","445","409","36"
"PRS-Supervisors of Personal Care And Service Workers","765","292","473"
"PRS-Animal Trainers","268","137","131"
"PRS-Animal Caretakers","2568","742","1826"
"PRS-Gambling Services Workers","572","352","220"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","213","92","121"
"PRS-Other Entertainment Attendants And Related Workers","1981","1269","712"
"PRS-Morticians, Undertakers, And Funeral Arrangers","815","397","418"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","320","277","43"
"PRS-Barbers","1172","959","213"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","8264","491","7773"
"PRS-Manicurists and Pedicurists","1553","421","1132"
"PRS-Skincare Specialists","406","0","406"
"PRS-Other Personal Appearance Workers","132","40","92"
"PRS-Baggage Porters, Bellhops, And Concierges","217","197","20"
"PRS-Tour And Travel Guides","730","426","304"
"PRS-Childcare Workers","15039","494","14545"
"PRS-Exercise Trainers And Group Fitness Instructors","1270","330","940"
"PRS-Recreation Workers","1842","679","1163"
