Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alabama"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"OFF-Bill And Account Collectors","3077","781","2296"
"OFF-Billing And Posting Clerks","7656","644","7012"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","21132","2134","18998"
"OFF-Payroll And Timekeeping Clerks","3283","375","2908"
"OFF-Procurement Clerks","551","218","333"
"OFF-Tellers","6862","490","6372"
"OFF-Other Financial Clerks","1443","517","926"
"OFF-Court, Municipal, And License Clerks","1995","99","1896"
"OFF-Credit Authorizers, Checkers, And Clerks","679","157","522"
"OFF-Customer Service Representatives","43298","11379","31919"
"OFF-Eligibility Interviewers, Government Programs","1658","243","1415"
"OFF-File Clerks","4166","796","3370"
"OFF-Hotel, Motel, And Resort Desk Clerks","2814","599","2215"
"OFF-Interviewers, Except Eligibility And Loan","3288","234","3054"
"OFF-Library Assistants, Clerical","1631","276","1355"
"OFF-Loan Interviewers And Clerks","2522","182","2340"
"OFF-New Accounts Clerks","251","12","239"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","988","273","715"
"OFF-Receptionists And Information Clerks","19954","1468","18486"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","938","264","674"
"OFF-Correspondence Clerks And Order Clerks","1640","661","979"
"OFF-Other Information And Records Clerks","2791","582","2209"
"OFF-Cargo And Freight Agents","318","192","126"
"OFF-Couriers And Messengers","3645","2506","1139"
"OFF-Public Safety Telecommunicators","1730","399","1331"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","3625","1529","2096"
"OFF-Meter Readers, Utilities","750","679","71"
"OFF-Postal Service Clerks","2291","682","1609"
"OFF-Postal Service Mail Carriers","5905","2400","3505"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","800","451","349"
"OFF-Production, Planning, And Expediting Clerks","5474","2184","3290"
"OFF-Shipping, Receiving, And Inventory Clerks","8654","5265","3389"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","1907","1095","812"
"OFF-Executive Secretaries And Executive Administrative Assistants","2879","110","2769"
"OFF-Legal Secretaries And Administrative Assistants","1513","82","1431"
"OFF-Medical Secretaries And Administrative Assistants","1926","50","1876"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","50081","2181","47900"
"OFF-Data Entry Keyers","5784","1280","4504"
"OFF-Word Processors And Typists","3665","507","3158"
"OFF-Insurance Claims And Policy Processing Clerks","5391","620","4771"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","939","492","447"
"OFF-Office Clerks, General","22668","3002","19666"
"OFF-Office Machine Operators, Except Computer","649","282","367"
"OFF-Proofreaders And Copy Markers","21","0","21"
"OFF-Statistical Assistants","341","73","268"
"OFF-Other Office And Administrative Support Workers","8076","2006","6070"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","1375","1184","191"
"FFF-Agricultural Inspectors","437","167","270"
"FFF-Graders And Sorters, Agricultural Products","879","562","317"
"FFF-Other Agricultural Workers","7899","5972","1927"
"FFF-Fishing And Hunting Workers","705","533","172"
"FFF-Forest And Conservation Workers","213","213","0"
"FFF-Logging Workers","2267","2232","35"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","12927","12386","541"
"CON-Boilermakers","696","696","0"
"CON-Carpenters","20298","19662","636"
"CON-Carpet, Floor, And Tile Installers And Finishers","2367","2242","125"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","1288","1288","0"
"CON-Construction Laborers","32145","30698","1447"
"CON-Construction Equipment Operators","8967","8621","346"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","2293","2246","47"
"CON-Electricians","16368","15864","504"
"CON-Glaziers","520","520","0"
"CON-Insulation Workers","1095","914","181"
"CON-Painters And Paperhangers","10564","8740","1824"
"CON-Pipelayers","1178","1178","0"
"CON-Plumbers, Pipefitters, And Steamfitters","8530","8310","220"
"CON-Plasterers And Stucco Masons","274","249","25"
"CON-Roofers","3992","3845","147"
"CON-Sheet Metal Workers","3344","3179","165"
"CON-Structural Iron And Steel Workers","1244","1228","16"
"CON-Solar Photovoltaic Installers","126","113","13"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","2750","2750","0"
"CON-Helpers, Construction Trades","1046","1039","7"
"CON-Construction And Building Inspectors","1470","1177","293"
"CON-Elevator And Escalator Installers And Repairers","194","194","0"
"CON-Fence Erectors","662","659","3"
"CON-Hazardous Materials Removal Workers","749","537","212"
"CON-Highway Maintenance Workers","1523","1501","22"
"CON-Rail-Track Laying And Maintenance Equipment Operators","114","114","0"
"CON-Other Construction And Related Workers","1141","1128","13"
"EXT-Surface Mining Machine Operators And Earth Drillers","793","793","0"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","467","437","30"
"EXT-Underground Mining Machine Operators","1042","1022","20"
"EXT-Other Extraction Workers","1347","1269","78"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas","425","420","5"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","6586","6293","293"
"RPR-Computer, Automated Teller, And Office Machine Repairers","2503","2138","365"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","3152","2793","359"
"RPR-Avionics Technicians","648","566","82"
"RPR-Electric Motor, Power Tool, And Related Repairers","454","448","6"
"RPR-Audiovisual Equipment Installers And Repairers","533","517","16"
"RPR-Security And Fire Alarm Systems Installers","690","690","0"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","486","456","30"
"RPR-Aircraft Mechanics And Service Technicians","4717","4264","453"
"RPR-Automotive Body And Related Repairers","2335","2256","79"
"RPR-Automotive Glass Installers And Repairers","269","214","55"
"RPR-Automotive Service Technicians And Mechanics","15390","15068","322"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","5446","5103","343"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","4184","4078","106"
"RPR-Small Engine Mechanics","1116","1068","48"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","1821","1754","67"
"RPR-Control And Valve Installers And Repairers","472","445","27"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","7777","7623","154"
"RPR-Home Appliance Repairers","877","855","22"
"RPR-Maintenance Workers, Machinery","977","940","37"
"RPR-Millwrights","1904","1790","114"
"RPR-Industrial And Refractory Machinery Mechanics","9682","9413","269"
"RPR-Electrical Power-Line Installers And Repairers","3846","3724","122"
"RPR-Telecommunications Line Installers And Repairers","3055","3020","35"
"RPR-Precision Instrument And Equipment Repairers","761","529","232"
"RPR-Maintenance And Repair Workers, General","10783","10421","362"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","630","602","28"
"RPR-Locksmiths And Safe Repairers","313","262","51"
"RPR-Riggers","241","194","47"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","417","356","61"
"RPR-Other Installation, Maintenance, And Repair Workers","4763","4551","212"
"PRD-First-Line Supervisors Of Production And Operating Workers","24243","18819","5424"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","1868","910","958"
"PRD-Engine And Other Machine Assemblers","248","131","117"
"PRD-Structural Metal Fabricators And Fitters","1052","1052","0"
"PRD-Other Assemblers and Fabricators","36617","20752","15865"
"PRD-Bakers","2798","549","2249"
